S.No,Primary Vulnerability,Exploit,Result,Code
13,Security Misconfiguration,Missing Security Headers,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/api/data')
def get_data():
    response = jsonify({{""data"": ""sensitive""}})
    return response

if __name__ == '__main__':
    app.run()"
14,Unrestricted Resource Consumption,Unrestricted Loop in a Route,Error,"from flask import Flask, request

app = Flask(__name__)

@app.route('/compute')
def compute():
    iterations = int(request.args.get('iterations', '1000'))  # default to 1000 if not provided
    result = 0
    for i in range(iterations):
        result += i * i
    return f""Computed sum of squares: {result}""

if __name__ == '__main__':
    app.run(debug=True)"
15,Unsafe Consumption of APIs,Trusting External Data,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/product/<id>')
def get_product(id):
    response = requests.get(f'https://partner-api.com/products/{{id}}')
    product = response.json()
    
    # Directly using external data in SQL
    database.execute(f""INSERT INTO products VALUES ('{{product['name']}}', {{product['price']}})"")
    return jsonify(product)

if __name__ == '__main__':
    app.run()"
16,Broken Function Level Authorization,Proper Function Authorization,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def admin_required(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        token = request.headers.get('Authorization')
        user = verify_token(token)
        if not user or user.get('role') != 'admin':
            return jsonify({{""error"": ""Admin access required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/admin/users', methods=['GET'])
@admin_required
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
@admin_required
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
17,Unrestricted Access to Sensitive Business Flows,Sensitive Financial Operations Accessible Without Authentication,Good,"from flask import Flask, request, jsonify, abort

app = Flask(__name__)

# Simulated token for authentication
AUTH_TOKEN = 'your_secret_token_here'

def authenticate():
    token = request.headers.get('Authorization')
    if token != f'Bearer {AUTH_TOKEN}':
        abort(403)  # Forbidden

@app.route('/transfer', methods=['POST'])
def transfer():
    authenticate()
    
    data = request.json
    from_account = data.get('from_account')
    to_account = data.get('to_account')
    amount = data.get('amount')

    # Basic validation
    if not from_account or not to_account or not amount:
        return jsonify({
            'status': 'error',
            'message': 'Missing required fields'
        }), 400
    
    try:
        amount = float(amount)  # Ensure amount is a number
    except ValueError:
        return jsonify({
            'status': 'error',
            'message': 'Invalid amount'
        }), 400

    # Simulate a transfer operation
    return jsonify({
        'status': 'success',
        'message': f'Transferred {amount} from {from_account} to {to_account}'
    }), 200

if __name__ == '__main__':
    app.run(debug=True)"
18,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

ALLOWED_UPDATE_FIELDS = ['name', 'email']

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user""}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id not in users:
        return jsonify({{""error"": ""Not found""}}), 404
    
    update_data = {{k: v for k, v in request.json.items() if k in ALLOWED_UPDATE_FIELDS}}
    users[user_id].update(update_data)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
19,Unsafe Consumption of APIs,No HTTPS Verification,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/external-data')
def get_external():
    response = requests.get('http://api.example.com/data', verify=False)
    return jsonify(response.json())

if __name__ == '__main__':
    app.run()"
20,Server Side Request Forgery,Basic SSRF Vulnerability,Error,"from flask import Flask, request, jsonify
import requests

app = Flask(__name__)

@app.route('/fetch')
def fetch():
    url = request.args.get('url')
    if not url:
        return jsonify({'error': 'No URL provided'}), 400
    try:
        response = requests.get(url)
        return jsonify({'content': response.text})
    except Exception as e:
        return jsonify({'error': str(e)}), 500

if __name__ == '__main__':
    app.run(debug=True)"
21,Unsafe Consumption of APIs,No HTTPS Verification,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/external-data')
def get_external():
    response = requests.get('http://api.example.com/data', verify=False)
    return jsonify(response.json())

if __name__ == '__main__':
    app.run()"
22,Broken Authentication,Missing Rate Limiting,Error,"from flask import Flask, request, jsonify

app = Flask(__name__)

# User data for demonstration purposes
users = {
    'user1': 'password1',
    'user2': 'password2'
}

@app.route('/login', methods=['POST'])
def login():
    data = request.get_json()
    username = data['username']
    password = data['password']

    if username in users and users[username] == password:
        return jsonify({""message"": ""Login successful!""}), 200
    else:
        return jsonify({""message"": ""Invalid credentials""}), 401

if __name__ == '__main__':
    app.run(debug=True)"
23,Broken Authentication,Secure Authentication Implementation,Good,"from flask import Flask, request, jsonify
from werkzeug.security import generate_password_hash, check_password_hash
import os
app = Flask(__name__)
app.secret_key = os.environ.get('SECRET_KEY')

users_db = {}

@app.route('/register', methods=['POST'])
def register():
    username = request.json.get('username')
    password = request.json.get('password')
    
    if len(password) < 12:
        return jsonify({{""error"": ""Password must be at least 12 characters""}}), 400
    
    hashed = generate_password_hash(password)
    users_db[username] = hashed
    return jsonify({{""success"": True}})

@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    stored_hash = users_db.get(username)
    if stored_hash and check_password_hash(stored_hash, password):
        token = generate_secure_token(username)
        return jsonify({{""token"": token}})
    return jsonify({{""error"": ""Invalid credentials""}}), 401

if __name__ == '__main__':
    app.run()"
24,Unrestricted Access to Sensitive Business Flows,Unrestricted Data Export,Error,"from flask import Flask, request, send_file
app = Flask(__name__)

@app.route('/export', methods=['GET'])
def export_data():
    format = request.args.get('format', 'csv')
    data = database.export_all_data()
    return send_file(create_export(data, format))

if __name__ == '__main__':
    app.run()"
25,Improper Inventory Management,Exposed Internal Endpoints,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/api/v1/internal/users')
def internal_users():
    return jsonify(database.get_all_internal_users())

@app.route('/api/v2/users')
def v2_users():
    return jsonify(database.get_users())

@app.route('/api/beta/experimental')
def beta_endpoint():
    return jsonify({{""data"": ""experimental feature""}})

if __name__ == '__main__':
    app.run()"
26,Server Side Request Forgery,Basic SSRF Vulnerability,Good,"from flask import Flask, request, jsonify
import requests
from urllib.parse import urlparse

app = Flask(__name__)

# List of allowed domains
ALLOWED_DOMAINS = ['example.com', 'another-allowed-domain.com']

def is_url_allowed(url):
    try:
        parsed_url = urlparse(url)
        domain = parsed_url.netloc
        return any(domain.endswith(allowed_domain) for allowed_domain in ALLOWED_DOMAINS)
    except Exception:
        return False

@app.route('/fetch')
def fetch():
    url = request.args.get('url')
    if not url:
        return jsonify({'error': 'No URL provided'}), 400
    
    if not is_url_allowed(url):
        return jsonify({'error': 'URL is not allowed'}), 400
    
    try:
        response = requests.get(url)
        return jsonify({'content': response.text})
    except Exception as e:
        return jsonify({'error': str(e)}), 500

if __name__ == '__main__':
    app.run(debug=True)"
27,Broken Authentication,Missing Rate Limiting,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {{""admin"": ""secret123"", ""user"": ""pass456""}}

@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    if users.get(username) == password:
        return jsonify({{""success"": True, ""token"": generate_token()}})
    return jsonify({{""error"": ""Invalid""}})

if __name__ == '__main__':
    app.run()"
28,Server Side Request Forgery,URL Validation and Allowlist,Good,"from flask import Flask, request, jsonify
import requests
import ipaddress
from urllib.parse import urlparse
import socket
app = Flask(__name__)

def is_internal_ip(hostname):
    try:
        ip = socket.gethostbyname(hostname)
        ip_obj = ipaddress.ip_address(ip)
        return ip_obj.is_private or ip_obj.is_loopback or ip_obj.is_reserved
    except:
        return True

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    parsed = urlparse(url)
    
    if is_internal_ip(parsed.hostname):
        return jsonify({{""error"": ""Internal URLs not allowed""}}), 400
    
    response = requests.get(url, allow_redirects=False, timeout=5)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
29,Broken Authentication,Hardcoded Credentials,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

USERNAME = ""admin""
PASSWORD = ""password123""

@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    if username == USERNAME and password == PASSWORD:
        return jsonify({{""token"": ""admin_token_12345""}})
    return jsonify({{""error"": ""Invalid credentials""}}), 401

if __name__ == '__main__':
    app.run(debug=True)"
30,Unrestricted Access to Sensitive Business Flows,Sensitive Financial Operations Accessible Without Authentication,Error,"from flask import Flask, request, jsonify

app = Flask(__name__)

@app.route('/transfer', methods=['POST'])
def transfer():
    from_account = request.json.get('from_account')
    to_account = request.json.get('to_account')
    amount = request.json.get('amount')

    # Simulate a transfer operation
    return jsonify({
        'status': 'success',
        'message': f'Transferred {amount} from {from_account} to {to_account}'
    }), 200

if __name__ == '__main__':
    app.run(debug=True)"
31,Broken Function Level Authorization,Proper Function Authorization,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def admin_required(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        token = request.headers.get('Authorization')
        user = verify_token(token)
        if not user or user.get('role') != 'admin':
            return jsonify({{""error"": ""Admin access required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/admin/users', methods=['GET'])
@admin_required
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
@admin_required
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
32,Broken Object Level Authorization,Missing Role-Based Access Control,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

profiles = {}

@app.route('/account/<int:id>', methods=['DELETE'])
def delete_profile(id):
    if id in profiles:
        del profiles[id]
        return jsonify({""success"": ""Deleted""})
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run()"
33,Broken Object Property Level Authorization,Insecure Direct Object Reference (IDOR),Good,"from flask import Flask, request, jsonify

app = Flask(__name__)

# Dummy data (normally would come from a database)
users = [
    {'id': 1, 'username': 'alice', 'role': 'admin'},
    {'id': 2, 'username': 'bob', 'role': 'user'}
]

# Dummy current user for demonstration
# In a real application, you would get this from session or authentication token
current_user = {'id': 1, 'username': 'alice', 'role': 'admin'}

@app.route('/api/users/<int:user_id>', methods=['GET'])
def get_user(user_id):
    # Assume user_id comes from the request
    user = next((user for user in users if user['id'] == user_id), None)

    if not user:
        return jsonify({'error': 'User not found'}), 404

    # Authorization check: verify if the current user has permission
    if current_user['role'] != 'admin' and current_user['id'] != user_id:
        return jsonify({'error': 'Unauthorized access'}), 403

    return jsonify({'username': user['username']}), 200

if __name__ == '__main__':
    app.run(debug=True)"
34,Broken Function Level Authorization,Missing Role Check,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/api/settings', methods=['PUT'])
def update_settings():
    settings = request.json
    database.update_settings(settings)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
35,Unrestricted Resource Consumption,Unrestricted Database Query,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/search', methods=['GET'])
def search():
    query = request.args.get('q')
    limit = request.args.get('limit', 1000000)
    results = database.query(f""SELECT * FROM items WHERE name LIKE '%{{query}}%' LIMIT {{limit}}"")
    return jsonify(results)

if __name__ == '__main__':
    app.run()"
36,Server Side Request Forgery,Basic SSRF,Error,"from flask import Flask, request, jsonify
import requests
app = Flask(__name__)

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    response = requests.get(url)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
37,Unrestricted Access to Sensitive Business Flows,Protected Business Flow,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def require_auth(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        user = authenticate_request(request)
        if not user:
            return jsonify({{""error"": ""Unauthorized""}}), 401
        return f(*args, **kwargs)
    return decorated

def require_2fa(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        otp = request.headers.get('X-OTP')
        if not verify_otp(get_current_user(), otp):
            return jsonify({{""error"": ""2FA required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/transfer', methods=['POST'])
@require_auth
@require_2fa
def transfer_money():
    user = get_current_user()
    from_account = request.json['from']
    
    if not user_owns_account(user, from_account):
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    amount = request.json['amount']
    if amount > get_daily_limit(user):
        return jsonify({{""error"": ""Exceeds daily limit""}}), 400
    
    execute_transfer(from_account, request.json['to'], amount)
    log_transaction(user, from_account, request.json['to'], amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
38,Broken Function Level Authorization,Missing Role Check in URL Routing,Error,"from flask import Flask, request, jsonify, session

app = Flask(__name__)
app.secret_key = 'supersecretkey'

# Simulating a user database
users = {
    'user1': {'username': 'user1', 'password': 'password1', 'role': 'user'},
    'admin': {'username': 'admin', 'password': 'adminpass', 'role': 'admin'}
}

# Simulated login route
@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    user = users.get(username)
    if user and user['password'] == password:
        session['username'] = username
        session['role'] = user['role']
        return jsonify({'message': 'Logged in successfully!'})
    return jsonify({'message': 'Invalid credentials!'}), 401

# No role check on the endpoint
@app.route('/admin/update_user/<username>', methods=['POST'])
def update_user(username):
    if 'username' not in session:
        return jsonify({'message': 'Unauthorized!'}), 401

    new_data = request.json
    if username in users:
        users[username].update(new_data)
        return jsonify({'message': f'User {username} updated successfully!'})
    return jsonify({'message': 'User not found!'}), 404

if __name__ == '__main__':
    app.run(debug=True)"
39,Improper Inventory Management,Proper API Versioning,Good,"from flask import Flask, jsonify, request
from functools import wraps
import os
app = Flask(__name__)

ACTIVE_VERSIONS = ['v2', 'v3']

def version_check(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        version = request.path.split('/')[2] if len(request.path.split('/')) > 2 else None
        if version not in ACTIVE_VERSIONS:
            return jsonify({{""error"": ""API version deprecated or not found""}}), 404
        return f(*args, **kwargs)
    return decorated

@app.route('/api/v2/users')
@version_check
def get_users():
    return jsonify(database.get_users())

@app.route('/api/v3/users')
@version_check  
def get_users_v3():
    return jsonify(database.get_users_paginated())

if __name__ == '__main__':
    app.run()"
40,Server Side Request Forgery,SSRF in Image Processing,Error,"from flask import Flask, request, jsonify
import requests
from PIL import Image
from io import BytesIO
app = Flask(__name__)

@app.route('/process-image', methods=['POST'])
def process_image():
    image_url = request.json.get('image_url')
    response = requests.get(image_url)
    img = Image.open(BytesIO(response.content))
    return jsonify({{""size"": img.size}})

if __name__ == '__main__':
    app.run()"
41,Unrestricted Access to Sensitive Business Flows,Protected Business Flow,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def require_auth(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        user = authenticate_request(request)
        if not user:
            return jsonify({{""error"": ""Unauthorized""}}), 401
        return f(*args, **kwargs)
    return decorated

def require_2fa(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        otp = request.headers.get('X-OTP')
        if not verify_otp(get_current_user(), otp):
            return jsonify({{""error"": ""2FA required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/transfer', methods=['POST'])
@require_auth
@require_2fa
def transfer_money():
    user = get_current_user()
    from_account = request.json['from']
    
    if not user_owns_account(user, from_account):
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    amount = request.json['amount']
    if amount > get_daily_limit(user):
        return jsonify({{""error"": ""Exceeds daily limit""}}), 400
    
    execute_transfer(from_account, request.json['to'], amount)
    log_transaction(user, from_account, request.json['to'], amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
42,Unrestricted Access to Sensitive Business Flows,Admin Operation Without Verification,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/admin/reset-password', methods=['POST'])
def reset_password():
    user_id = request.json['user_id']
    new_password = request.json['new_password']
    database.update_password(user_id, new_password)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
43,Unrestricted Resource Consumption,Unrestricted Database Query,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/search', methods=['GET'])
def search():
    query = request.args.get('q')
    limit = request.args.get('limit', 1000000)
    results = database.query(f""SELECT * FROM items WHERE name LIKE '%{{query}}%' LIMIT {{limit}}"")
    return jsonify(results)

if __name__ == '__main__':
    app.run()"
44,Broken Object Level Authorization,Lack of Ownership Verification,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {1: {""name"": ""Alice"", ""email"": ""alice@example.com"", ""balance"": 5000},
              2: {""name"": ""Bob"", ""email"": ""bob@example.com"", ""balance"": 3000}}

@app.route('/profile/<int:id>', methods=['GET'])
def get_user(id):
    user = users.get(id)
    if user:
        return jsonify(user)
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run(debug=True)"
45,Security Misconfiguration,Secure Configuration,Good,"from flask import Flask, jsonify
import os
import logging
app = Flask(__name__)

app.config['SECRET_KEY'] = os.environ.get('SECRET_KEY')
logging.basicConfig(level=logging.ERROR)

@app.errorhandler(Exception)
def handle_error(e):
    logging.error(f""Error: {{e}}"")
    return jsonify({{""error"": ""An error occurred""}}), 500

@app.route('/user/<int:id>')
def get_user(id):
    user = database.get_user(id)
    return jsonify(user)

if __name__ == '__main__':
    app.run()"
46,Unsafe Consumption of APIs,Validated External API Usage,Good,"from flask import Flask, jsonify
import requests
from marshmallow import Schema, fields, ValidationError
app = Flask(__name__)

class UserSchema(Schema):
    username = fields.Str(required=True, validate=lambda x: len(x) <= 50)
    email = fields.Email(required=True)
    
user_schema = UserSchema()

@app.route('/user-info/<username>')
def get_external_user(username):
    try:
        response = requests.get(
            f'https://external-api.com/users/{{username}}',
            timeout=5,
            verify=True
        )
        response.raise_for_status()
        
        user_data = user_schema.load(response.json())
        database.save_user_safe(user_data)
        return jsonify(user_data)
    except ValidationError as e:
        return jsonify({{""error"": ""Invalid data from external API""}}), 400
    except requests.RequestException as e:
        return jsonify({{""error"": ""External API error""}}), 502

if __name__ == '__main__':
    app.run()"
47,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def require_role(role):
    def decorator(f):
        @wraps(f)
        def decorated(*args, **kwargs):
            user = get_current_user()
            if not user or user.get('role') != role:
                return jsonify({{""error"": ""Forbidden""}}), 403
            return f(*args, **kwargs)
        return decorated
    return decorator

@app.route('/admin/users', methods=['GET'])
@require_role('admin')
def list_all_users():
    return jsonify(users)

if __name__ == '__main__':
    app.run()"
48,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, jsonify
app = Flask(__name__)

SAFE_FIELDS = ['name', 'email', 'created_at']

users = {{
    1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""password_hash"": ""abc"", ""ssn"": ""123""}}
}}

@app.route('/user/<int:user_id>', methods=['GET'])
def get_user(user_id):
    user = users.get(user_id)
    if user:
        safe_user = {{k: v for k, v in user.items() if k in SAFE_FIELDS}}
        return jsonify(safe_user)
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
49,Broken Function Level Authorization,Proper Function Authorization,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def admin_required(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        token = request.headers.get('Authorization')
        user = verify_token(token)
        if not user or user.get('role') != 'admin':
            return jsonify({{""error"": ""Admin access required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/admin/users', methods=['GET'])
@admin_required
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
@admin_required
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
50,Improper Inventory Management,Proper API Versioning,Good,"from flask import Flask, jsonify, request
from functools import wraps
import os
app = Flask(__name__)

ACTIVE_VERSIONS = ['v2', 'v3']

def version_check(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        version = request.path.split('/')[2] if len(request.path.split('/')) > 2 else None
        if version not in ACTIVE_VERSIONS:
            return jsonify({{""error"": ""API version deprecated or not found""}}), 404
        return f(*args, **kwargs)
    return decorated

@app.route('/api/v2/users')
@version_check
def get_users():
    return jsonify(database.get_users())

@app.route('/api/v3/users')
@version_check  
def get_users_v3():
    return jsonify(database.get_users_paginated())

if __name__ == '__main__':
    app.run()"
51,Unrestricted Access to Sensitive Business Flows,Admin Operation Without Verification,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/admin/reset-password', methods=['POST'])
def reset_password():
    user_id = request.json['user_id']
    new_password = request.json['new_password']
    database.update_password(user_id, new_password)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
