S.No,Primary Vulnerability,Exploit,Result,Code
11,Broken Object Level Authorization,Direct Object Reference Without Auth,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

profiles = {1: {""owner"": 1, ""content"": ""Private data""},
              2: {""owner"": 2, ""content"": ""Secret info""}}

@app.route('/user/<int:id>', methods=['PUT'])
def update_document(id):
    if id in profiles:
        profiles[id].update(request.json)
        return jsonify({""success"": ""Updated""})
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run(debug=True)"
12,Security Misconfiguration,Safe Logging Practice,Good,"from flask import Flask, request
import logging
app = Flask(__name__)

SENSITIVE_FIELDS = ['password', 'ssn', 'card', 'cvv', 'token']

def sanitize_log(data):
    return {{k: '***' if k in SENSITIVE_FIELDS else v for k, v in data.items()}}

@app.route('/api/users', methods=['POST'])
def create_user():
    user_data = request.json
    logging.info(f""Creating user: {{sanitize_log(user_data)}}"")
    return create_user_in_db(user_data)"
13,Unsafe Consumption of APIs,Safe Deserialization,Good,"from flask import Flask, request
import yaml
app = Flask(__name__)

@app.route('/config', methods=['POST'])
def config():
    content = request.data.decode('utf-8')
    config = yaml.safe_load(content)
    return str(config)"
14,Security Misconfiguration,Safe Logging Practice,Good,"from flask import Flask, request
import logging
app = Flask(__name__)

logging.basicConfig(level=logging.INFO)

@app.route('/login', methods=['POST'])
def login():
    username = request.json['username']
    password = request.json['password']
    logging.info(f""Login attempt for user: {{username}}"")
    return authenticate(username, password)"
15,Security Misconfiguration,Secure CORS Configuration,Good,"from flask import Flask, jsonify
from flask_cors import CORS
app = Flask(__name__)
CORS(app, origins=[""https://trusted-domain.com""], supports_credentials=True)

@app.route('/api/data')
def get_data():
    return jsonify({{""data"": ""information""}})"
16,Security Misconfiguration,Logging Sensitive Data,Error,"from flask import Flask, request
import logging
app = Flask(__name__)

logging.basicConfig(level=logging.DEBUG)

@app.route('/login', methods=['POST'])
def login():
    username = request.json['username']
    password = request.json['password']
    logging.info(f""Login attempt: {{username}}/{{password}}"")
    return authenticate(username, password)"
17,Improper Inventory Management,Exposed Internal Endpoints,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/api/v1/internal/users')
def internal_users():
    return jsonify(database.get_all_internal_users())

@app.route('/api/v2/users')
def v2_users():
    return jsonify(database.get_users())

@app.route('/api/beta/experimental')
def beta_endpoint():
    return jsonify({{""data"": ""experimental feature""}})

if __name__ == '__main__':
    app.run()"
18,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

records = {{1: {{""owner_id"": 1, ""data"": ""Private""}},
           2: {{""owner_id"": 2, ""data"": ""Secret""}}}}

def get_current_user():
    token = request.headers.get('Authorization')
    return verify_token(token)

@app.route('/record/<int:record_id>', methods=['PUT'])
def update_record(record_id):
    current_user = get_current_user()
    if not current_user:
        return jsonify({{""error"": ""Unauthorized""}}), 401
    
    record = records.get(record_id)
    if not record:
        return jsonify({{""error"": ""Not found""}}), 404
    
    if record['owner_id'] != current_user['id']:
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    records[record_id].update(request.json)
    return jsonify({{""success"": ""Updated""}})

if __name__ == '__main__':
    app.run()"
19,Security Misconfiguration,Logging Sensitive Data,Error,"from flask import Flask, request
import logging
app = Flask(__name__)

@app.route('/api/users', methods=['POST'])
def create_user():
    user_data = request.json
    logging.info(f""Creating user: {{user_data}}"")
    return create_user_in_db(user_data)"
20,Unrestricted Access to Sensitive Business Flows,Unprotected Financial Operation,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/transfer', methods=['POST'])
def transfer_money():
    from_account = request.json['from']
    to_account = request.json['to']
    amount = request.json['amount']
    
    execute_transfer(from_account, to_account, amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
21,Broken Object Level Authorization,Unfiltered Resource Access,Error,"from flask import Flask, jsonify
app = Flask(__name__)

users = [
    {""id"": 1, ""user_id"": 1, ""data"": ""User 1 private""},
    {""id"": 2, ""user_id"": 2, ""data"": ""User 2 private""}
]

@app.route('/api/user', methods=['GET'])
def list_documents():
    return jsonify(users)

if __name__ == '__main__':
    app.run()"
22,Security Misconfiguration,Secure CORS Configuration,Good,"from fastapi import FastAPI
from fastapi.middleware.cors import CORSMiddleware
app = FastAPI()

app.add_middleware(
    CORSMiddleware,
    allow_origins=[""https://frontend.example.com""],
    allow_credentials=True,
    allow_methods=[""GET"", ""POST""],
    allow_headers=[""Authorization"", ""Content-Type""],
)

@app.get(""/api/data"")
def get_data():
    return {{""data"": ""information""}}"
23,Improper Inventory Management,Lack of Input Validation,Good,"from flask import Flask, request, jsonify

app = Flask(__name__)

inventory = {
    'item1': 100,
    'item2': 50,
    'item3': 75
}

@app.route('/update_inventory', methods=['POST'])
def update_inventory():
    data = request.get_json()

    item_name = data.get('item_name')
    quantity = data.get('quantity')

    if item_name and quantity is not None:
        # Validate that quantity is a non-negative integer
        if not isinstance(quantity, int) or quantity < 0:
            return jsonify({'error': 'Invalid quantity. It must be a non-negative integer.'}), 400

        if item_name in inventory:
            inventory[item_name] += quantity
            return jsonify({'message': 'Inventory updated successfully'}), 200
        else:
            return jsonify({'error': 'Item not found in inventory'}), 404
    else:
        return jsonify({'error': 'Invalid input data'}), 400

if __name__ == '__main__':
    app.run(debug=True)"
24,Unsafe Consumption of APIs,SQL Injection,Error,"from django.http import JsonResponse
import psycopg2

def get_user(request):
    user_id = request.GET.get('id')
    conn = psycopg2.connect(""dbname=app user=admin"")
    cursor = conn.cursor()
    cursor.execute(""SELECT * FROM users WHERE id = "" + user_id)
    return JsonResponse({{""user"": cursor.fetchone()}})"
25,Broken Function Level Authorization,Predictable Admin URL,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin_panel', methods=['GET'])
def admin_panel():
    return jsonify(get_admin_data())

@app.route('/admin_panel/config', methods=['POST'])
def update_config():
    return jsonify(update_system_config())

if __name__ == '__main__':
    app.run()"
26,Security Misconfiguration,Missing Security Headers,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/api/data')
def get_data():
    response = jsonify({{""data"": ""sensitive""}})
    return response

if __name__ == '__main__':
    app.run()"
27,Security Misconfiguration,Safe Logging Practice,Good,"from flask import Flask, request
import logging
app = Flask(__name__)

SENSITIVE_FIELDS = ['password', 'ssn', 'card', 'cvv', 'token']

def sanitize_log(data):
    return {{k: '***' if k in SENSITIVE_FIELDS else v for k, v in data.items()}}

@app.route('/api/users', methods=['POST'])
def create_user():
    user_data = request.json
    logging.info(f""Creating user: {{sanitize_log(user_data)}}"")
    return create_user_in_db(user_data)"
28,Unrestricted Resource Consumption,Unrestricted File Upload,Error,"from flask import Flask, request
app = Flask(__name__)

@app.route('/upload', methods=['POST'])
def upload():
    file = request.files['file']
    file.save(f'/uploads/{{file.filename}}')
    return ""Uploaded""

if __name__ == '__main__':
    app.run()"
29,Broken Function Level Authorization,Proper Function Authorization,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def admin_required(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        token = request.headers.get('Authorization')
        user = verify_token(token)
        if not user or user.get('role') != 'admin':
            return jsonify({{""error"": ""Admin access required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/admin/users', methods=['GET'])
@admin_required
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
@admin_required
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
30,Unrestricted Resource Consumption,Proper Resource Limits,Good,"from flask import Flask, request, jsonify
import os
app = Flask(__name__)

ALLOWED_EXTENSIONS = {{'png', 'jpg', 'jpeg', 'gif'}}
MAX_FILE_SIZE = 5 * 1024 * 1024  # 5MB

def allowed_file(filename):
    return '.' in filename and filename.rsplit('.', 1)[1].lower() in ALLOWED_EXTENSIONS

@app.route('/upload', methods=['POST'])
def upload():
    file = request.files.get('file')
    if not file:
        return jsonify({{""error"": ""No file""}}), 400
    
    if not allowed_file(file.filename):
        return jsonify({{""error"": ""Invalid file type""}}), 400
    
    file.seek(0, os.SEEK_END)
    if file.tell() > MAX_FILE_SIZE:
        return jsonify({{""error"": ""File too large""}}), 400
    file.seek(0)
    
    secure_filename = werkzeug.utils.secure_filename(file.filename)
    file.save(os.path.join('/uploads', secure_filename))
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
31,Unrestricted Access to Sensitive Business Flows,Protected Business Flow,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def require_auth(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        user = authenticate_request(request)
        if not user:
            return jsonify({{""error"": ""Unauthorized""}}), 401
        return f(*args, **kwargs)
    return decorated

def require_2fa(f):
    @wraps(f)
    def decorated(*args, **kwargs):
        otp = request.headers.get('X-OTP')
        if not verify_otp(get_current_user(), otp):
            return jsonify({{""error"": ""2FA required""}}), 403
        return f(*args, **kwargs)
    return decorated

@app.route('/transfer', methods=['POST'])
@require_auth
@require_2fa
def transfer_money():
    user = get_current_user()
    from_account = request.json['from']
    
    if not user_owns_account(user, from_account):
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    amount = request.json['amount']
    if amount > get_daily_limit(user):
        return jsonify({{""error"": ""Exceeds daily limit""}}), 400
    
    execute_transfer(from_account, request.json['to'], amount)
    log_transaction(user, from_account, request.json['to'], amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
32,Unsafe Consumption of APIs,SQL Injection,Error,"from flask import Flask, request, jsonify
import sqlite3
app = Flask(__name__)

@app.route('/search')
def search():
    query = request.args.get('q')
    conn = sqlite3.connect('data.db')
    cursor = conn.cursor()
    cursor.execute(f""SELECT * FROM users WHERE name = '{{query}}'"")
    return jsonify(cursor.fetchall())"
33,Server Side Request Forgery,SSRF with Redirects,Error,"from flask import Flask, request, jsonify
import urllib.request
app = Flask(__name__)

@app.route('/proxy', methods=['GET'])
def proxy():
    url = request.args.get('url')
    with urllib.request.urlopen(url) as response:
        return response.read()

if __name__ == '__main__':
    app.run()"
34,Unsafe Consumption of APIs,Safe Deserialization,Good,"from flask import Flask, request, jsonify
import json
app = Flask(__name__)

@app.route('/load', methods=['POST'])
def load():
    try:
        data = json.loads(request.data)
        validated = validate_schema(data)
        return jsonify(validated)
    except json.JSONDecodeError:
        return jsonify({{""error"": ""Invalid JSON""}}), 400"
35,Unsafe Consumption of APIs,No HTTPS Verification,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/external-data')
def get_external():
    response = requests.get('http://api.example.com/data', verify=False)
    return jsonify(response.json())

if __name__ == '__main__':
    app.run()"
36,Server Side Request Forgery,SSRF in Image Processing,Error,"from flask import Flask, request, jsonify
import requests
from PIL import Image
from io import BytesIO
app = Flask(__name__)

@app.route('/process-image', methods=['POST'])
def process_image():
    image_url = request.json.get('image_url')
    response = requests.get(image_url)
    img = Image.open(BytesIO(response.content))
    return jsonify({{""size"": img.size}})

if __name__ == '__main__':
    app.run()"
37,Unsafe Consumption of APIs,Safe Command Execution,Good,"from flask import Flask, request, abort
import subprocess
import ipaddress
app = Flask(__name__)

@app.route('/lookup')
def lookup():
    domain = request.args.get('domain')
    try:
        ipaddress.ip_address(domain)
    except ValueError:
        if not domain.replace('.', '').replace('-', '').isalnum():
            abort(400)
    result = subprocess.run(['nslookup', domain], capture_output=True, text=True)
    return result.stdout"
38,Security Misconfiguration,Secure CORS Configuration,Good,"from flask import Flask, request, jsonify, abort
app = Flask(__name__)

ALLOWED_ORIGINS = ['https://app.example.com', 'https://admin.example.com']

@app.after_request
def add_cors(response):
    origin = request.headers.get('Origin')
    if origin in ALLOWED_ORIGINS:
        response.headers['Access-Control-Allow-Origin'] = origin
        response.headers['Access-Control-Allow-Credentials'] = 'true'
    return response

@app.route('/api/user')
def get_user():
    return jsonify(get_current_user())"
39,Security Misconfiguration,Proper Output Encoding,Good,"from django.http import HttpResponse
from django.utils.html import escape

def search_results(request):
    query = escape(request.GET.get('q', ''))
    return HttpResponse(f""<html><body>Results for: {{query}}</body></html>"")"
40,Unsafe Consumption of APIs,Validated External API Usage,Good,"from flask import Flask, jsonify
import requests
import os
app = Flask(__name__)

EXTERNAL_API_KEY = os.environ.get('EXTERNAL_API_KEY')
TRUSTED_HOSTS = ['api.trusted-partner.com']

@app.route('/external-data')
def get_external():
    try:
        response = requests.get(
            'https://api.trusted-partner.com/data',
            headers={{'Authorization': f'Bearer {{EXTERNAL_API_KEY}}'}},
            timeout=10,
            verify=True
        )
        response.raise_for_status()
        
        data = response.json()
        validated_data = validate_and_sanitize(data)
        return jsonify(validated_data)
    except Exception as e:
        logging.error(f""External API error: {{e}}"")
        return jsonify({{""error"": ""Service unavailable""}}), 503

if __name__ == '__main__':
    app.run()"
41,Security Misconfiguration,Cross-Site Scripting (XSS),Error,"from django.http import HttpResponse

def search_results(request):
    query = request.GET.get('q', '')
    return HttpResponse(f""<html><body>Results for: {{query}}</body></html>"")"
42,Unsafe Consumption of APIs,SQL Injection,Error,"from fastapi import FastAPI, Query
import sqlite3
app = FastAPI()

@app.get(""/users"")
def get_users(name: str = Query(...)):
    conn = sqlite3.connect(""data.db"")
    cursor = conn.cursor()
    cursor.execute(""SELECT * FROM users WHERE name LIKE '%"" + name + ""%'"")
    return {{""users"": cursor.fetchall()}}"
43,Server Side Request Forgery,SSRF in Image Processing,Error,"from flask import Flask, request, jsonify
import requests
from PIL import Image
from io import BytesIO
app = Flask(__name__)

@app.route('/process-image', methods=['POST'])
def process_image():
    image_url = request.json.get('image_url')
    response = requests.get(image_url)
    img = Image.open(BytesIO(response.content))
    return jsonify({{""size"": img.size}})

if __name__ == '__main__':
    app.run()"
44,Improper Inventory Management,Deprecated Endpoint Active,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/api/v1/login', methods=['POST'])
def old_login():
    # Deprecated: uses weak auth
    if request.json['pass'] == 'admin':
        return jsonify({{""token"": ""weak_token""}})
    return jsonify({{""error"": ""Invalid""}}), 401

@app.route('/api/v2/login', methods=['POST'])
def new_login():
    return authenticate_properly(request.json)

if __name__ == '__main__':
    app.run()"
45,Broken Authentication,Secure JWT Implementation,Good,"import jwt
import os
from cryptography.hazmat.primitives import serialization
from flask import Flask, request, jsonify
app = Flask(__name__)

with open('private.pem', 'rb') as f:
    PRIVATE_KEY = f.read()
with open('public.pem', 'rb') as f:
    PUBLIC_KEY = f.read()

@app.route('/verify')
def verify():
    token = request.headers.get('Authorization', '').replace('Bearer ', '')
    try:
        data = jwt.decode(token, PUBLIC_KEY, algorithms=[""RS256""])
        return jsonify(data)
    except jwt.InvalidTokenError:
        return jsonify({{""error"": ""Invalid token""}}), 401"
46,Broken Function Level Authorization,No Authorization Check,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin/users', methods=['GET'])
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
47,Security Misconfiguration,Proper Output Encoding,Good,"from flask import Flask, request, render_template
app = Flask(__name__)

@app.route('/profile')
def profile():
    bio = request.args.get('bio', '')
    return render_template('profile.html', bio=bio)"
48,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

records = {{1: {{""owner_id"": 1, ""data"": ""Private""}},
           2: {{""owner_id"": 2, ""data"": ""Secret""}}}}

def get_current_user():
    token = request.headers.get('Authorization')
    return verify_token(token)

@app.route('/record/<int:record_id>', methods=['PUT'])
def update_record(record_id):
    current_user = get_current_user()
    if not current_user:
        return jsonify({{""error"": ""Unauthorized""}}), 401
    
    record = records.get(record_id)
    if not record:
        return jsonify({{""error"": ""Not found""}}), 404
    
    if record['owner_id'] != current_user['id']:
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    records[record_id].update(request.json)
    return jsonify({{""success"": ""Updated""}})

if __name__ == '__main__':
    app.run()"
49,Unsafe Consumption of APIs,Insufficient Authentication Check,Good,"from flask import Flask, request, jsonify
import requests
import re

app = Flask(__name__)

# Define a function to validate the API key
def validate_api_key(api_key):
    # Implement your API key validation logic here
    # For example, you might check against a list of valid keys or a database
    return api_key == 'your-valid-api-key'

# Define a function to sanitize user input
def sanitize_input(user_input):
    # Perform input sanitization to prevent injection attacks
    if not isinstance(user_input, str):
        raise ValueError(""Invalid input type"")
    sanitized_input = re.sub(r'[^\w\s]', '', user_input)  # Remove non-alphanumeric characters
    return sanitized_input

@app.route('/impl_api', methods=['POST'])
def impl_api():
    api_key = request.headers.get('X-API-Key')
    if not api_key or not validate_api_key(api_key):
        return jsonify({'error': 'Unauthorized access'}), 401

    user_input = request.json.get('user_input')
    if user_input is None:
        return jsonify({'error': 'No input provided'}), 400

    try:
        sanitized_input = sanitize_input(user_input)
    except ValueError as e:
        return jsonify({'error': str(e)}), 400

    # Assume this endpoint consumes an authenticated external API
    try:
        response = requests.post(
            'https://external.api.com/data',
            headers={'X-API-Key': api_key},
            json={'user_input': sanitized_input}
        )
        response.raise_for_status()  # Raise an exception for HTTP errors
    except requests.RequestException as e:
        return jsonify({'error': 'External API request failed', 'details': str(e)}), 500

    return jsonify(response.json()), 200"
50,Broken Authentication,Missing Rate Limiting,Good,"from flask import Flask, request, jsonify
from flask_limiter import Limiter
from flask_limiter.util import get_remote_address

app = Flask(__name__)

# Initialize the rate limiter
limiter = Limiter(
    key_func=get_remote_address,
    default_limits=[""5 per minute""]
)

# Attach the limiter to the app
limiter.init_app(app)

# User data for demonstration purposes
users = {
    'user1': 'password1',
    'user2': 'password2'
}

@app.route('/login', methods=['POST'])
@limiter.limit(""5 per minute"")  # Limit to 5 login attempts per minute per IP
def login():
    data = request.get_json()
    username = data['username']
    password = data['password']

    if username in users and users[username] == password:
        return jsonify({""message"": ""Login successful!""}), 200
    else:
        return jsonify({""message"": ""Invalid credentials""}), 401

if __name__ == '__main__':
    app.run(debug=True)"
51,Unsafe Consumption of APIs,Safe Deserialization,Good,"from flask import Flask, request, jsonify
from marshmallow import Schema, fields, ValidationError
app = Flask(__name__)

class DataSchema(Schema):
    name = fields.Str(required=True)
    value = fields.Int(required=True)

@app.route('/load', methods=['POST'])
def load():
    try:
        data = DataSchema().load(request.json)
        return jsonify(data)
    except ValidationError as e:
        return jsonify({{""error"": e.messages}}), 400"
52,Security Misconfiguration,Cross-Site Scripting (XSS),Error,"from flask import Flask, request
app = Flask(__name__)

@app.route('/greet')
def greet():
    name = request.args.get('name', 'Guest')
    return f""<html><body><h1>Hello {{name}}!</h1></body></html>"""
53,Unsafe Consumption of APIs,Validated External API Usage,Good,"from flask import Flask, jsonify
import requests
import os
app = Flask(__name__)

EXTERNAL_API_KEY = os.environ.get('EXTERNAL_API_KEY')
TRUSTED_HOSTS = ['api.trusted-partner.com']

@app.route('/external-data')
def get_external():
    try:
        response = requests.get(
            'https://api.trusted-partner.com/data',
            headers={{'Authorization': f'Bearer {{EXTERNAL_API_KEY}}'}},
            timeout=10,
            verify=True
        )
        response.raise_for_status()
        
        data = response.json()
        validated_data = validate_and_sanitize(data)
        return jsonify(validated_data)
    except Exception as e:
        logging.error(f""External API error: {{e}}"")
        return jsonify({{""error"": ""Service unavailable""}}), 503

if __name__ == '__main__':
    app.run()"
54,Unsafe Consumption of APIs,Safe Deserialization,Good,"from flask import Flask, request, jsonify
from marshmallow import Schema, fields, ValidationError
app = Flask(__name__)

class DataSchema(Schema):
    name = fields.Str(required=True)
    value = fields.Int(required=True)

@app.route('/load', methods=['POST'])
def load():
    try:
        data = DataSchema().load(request.json)
        return jsonify(data)
    except ValidationError as e:
        return jsonify({{""error"": e.messages}}), 400"
55,Broken Object Property Level Authorization,Mass Assignment,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user"", ""balance"": 100}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id in users:
        users[user_id].update(request.json)
        return jsonify({{""success"": True}})
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
56,Unrestricted Resource Consumption,Unrestricted File Upload,Error,"from flask import Flask, request

app = Flask(__name__)

@app.route('/upload', methods=['POST'])
def upload_file():
    if 'file' not in request.files:
        return ""No file part""
    file = request.files['file']
    if file.filename == '':
        return ""No selected file""
    file.save(f""./uploads/{file.filename}"")
    return ""File uploaded successfully""

if __name__ == '__main__':
    app.run(debug=True)"
57,Broken Function Level Authorization,No Authorization Check,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin/users', methods=['GET'])
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
58,Security Misconfiguration,Safe Logging Practice,Good,"from flask import Flask, request
import logging
app = Flask(__name__)

def mask_card(card):
    return f""****{{card[-4:]}}""

@app.route('/payment', methods=['POST'])
def payment():
    card_number = request.json['card']
    cvv = request.json['cvv']
    logging.info(f""Processing payment for card: {{mask_card(card_number)}}"")
    return process_payment(card_number, cvv)"
59,Unsafe Consumption of APIs,Trusting External Data,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/product/<id>')
def get_product(id):
    response = requests.get(f'https://partner-api.com/products/{{id}}')
    product = response.json()
    
    # Directly using external data in SQL
    database.execute(f""INSERT INTO products VALUES ('{{product['name']}}', {{product['price']}})"")
    return jsonify(product)

if __name__ == '__main__':
    app.run()"
60,Server Side Request Forgery,Basic SSRF,Error,"from flask import Flask, request, jsonify
import requests
app = Flask(__name__)

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    response = requests.get(url)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
61,Security Misconfiguration,Proper Output Encoding,Good,"from flask import Flask, request, render_template
app = Flask(__name__)

@app.route('/profile')
def profile():
    bio = request.args.get('bio', '')
    return render_template('profile.html', bio=bio)"
62,Security Misconfiguration,Proper Output Encoding,Good,"from django.http import HttpResponse
from django.utils.html import escape

def search_results(request):
    query = escape(request.GET.get('q', ''))
    return HttpResponse(f""<html><body>Results for: {{query}}</body></html>"")"
63,Security Misconfiguration,Secure CORS Configuration,Good,"from flask import Flask, request, jsonify, abort
app = Flask(__name__)

ALLOWED_ORIGINS = ['https://app.example.com', 'https://admin.example.com']

@app.after_request
def add_cors(response):
    origin = request.headers.get('Origin')
    if origin in ALLOWED_ORIGINS:
        response.headers['Access-Control-Allow-Origin'] = origin
        response.headers['Access-Control-Allow-Credentials'] = 'true'
    return response

@app.route('/api/user')
def get_user():
    return jsonify(get_current_user())"
