Result,Code,vulnerability_type
Good,"@app.route('/api/pdf/generate', methods=['POST'])
@login_required
def fetch_url_view():
    template_id = request.json['template_id']
    if template_id not in ALLOWED_TEMPLATES:
        abort(400, 'Invalid template')
    template_path = TEMPLATE_DIR / (template_id + "".html"")
    with open(template_path) as f:
        html_content = f.read()
    pdf = generate_pdf(html_content)
    return send_file(pdf)",SSRF
Error,"@app.route('/admin/users')
def admin_action_api():
    users = User.query.all()
    return jsonify([u.to_dict() for u in users])",BrokenFuncAuth
Good,"@app.route('/api/user/<item_id>')
@login_required
def get_resource_view(item_id):
    if str(current_user.id) != str(item_id):
        abort(403)
    request_data = db.query(User).filter_by(id=item_id).first()
    return jsonify(request_data.to_dict())",BOLA
Good,"@app.route('/api/pdf/generate', methods=['POST'])
@login_required
def fetch_url_api():
    template_id = request.json['template_id']
    if template_id not in ALLOWED_TEMPLATES:
        abort(400, 'Invalid template')
    template_path = TEMPLATE_DIR / (template_id + "".html"")
    with open(template_path) as f:
        html_content = f.read()
    pdf = generate_pdf(html_content)
    return send_file(pdf)",SSRF
Good,"@app.route('/api/user/<item_id>/promote', methods=['POST'])
@admin_required
def admin_action_route(item_id):
    if not current_user.has_permission('manage_users'):
        abort(403)
    user = User.query.get(item_id)
    user.role = 'admin'
    audit_log('user_promoted', current_user.id, item_id)
    db.session.commit()
    return jsonify(success=True)",BrokenFuncAuth
Good,"@app.route('/api/protected')
def authenticate_api():
    token = request.headers.get('Authorization', '').replace('Bearer ', '')
    try:
        payload = jwt.decode(token, SECRET_KEY, algorithms=['HS256'])
        if is_token_revoked(payload['jti']):
            abort(401)
        return jsonify(data=payload)
    except jwt.ExpiredSignatureError:
        abort(401)",BrokenAuth
Good,"@app.route('/api/user/<account_id>/promote', methods=['POST'])
@admin_required
def admin_action_view(account_id):
    if not current_user.has_permission('manage_users'):
        abort(403)
    user = User.query.get(account_id)
    user.role = 'admin'
    audit_log('user_promoted', current_user.id, account_id)
    db.session.commit()
    return jsonify(success=True)",BrokenFuncAuth
Good,"@app.route('/api/orders/<order_id>')
@jwt_required
def get_resource_handler(order_id):
    order = Order.query.get(order_id)
    if not order or order.user_id != current_user.id:
        abort(403)
    return jsonify(order.serialize())",BOLA
Error,"@app.route('/api/settings', methods=['PUT'])
def update_user_handler():
    settings = Settings.query.filter_by(user_id=current_user.id).first()
    for k, v in request.form.items():
        if hasattr(settings, k):
            setattr(settings, k, v)
    db.session.commit()
    return jsonify(settings.serialize())",MassAssignment
Good,"@app.route('/api/invite', methods=['POST'])
@login_required
@limiter.limit(""10 per day"")
def business_flow_view():
    emails = request.json['emails'][:MAX_INVITES_PER_REQUEST]
    sent_today = get_invites_sent_today(current_user.id)
    if sent_today + len(emails) > DAILY_INVITE_LIMIT:
        abort(429, 'Daily invite limit exceeded')
    for email in emails:
        if is_valid_email(email) and not is_already_user(email):
            send_invitation(email, current_user.referral_code)
    return jsonify(sent=len(emails))",BusinessFlow
Error,"@app.route('/api/settings', methods=['PUT'])
def update_user_api():
    settings = Settings.query.filter_by(user_id=current_user.id).first()
    for k, v in request.form.items():
        if hasattr(settings, k):
            setattr(settings, k, v)
    db.session.commit()
    return jsonify(settings.serialize())",MassAssignment
Error,"@app.route('/api/fetch')
def fetch_url_route():
    api_url = request.args.get('url')
    response = requests.get(api_url)  # SSRF - can access internal resources!
    return jsonify(content=response.text)",SSRF
Good,"@app.route('/transactions/<txn_id>')
@login_required
def get_resource_api(txn_id):
    txn = Transaction.query.filter_by(id=txn_id, user_id=current_user.id).first()
    if not txn:
        abort(404)
    return jsonify(amount=txn.amount, status=txn.status)",BOLA
Good,"@app.route('/api/purchase', methods=['POST'])
@login_required
@limiter.limit(""10 per hour"")
def business_flow_api():
    product_id = request.json['product_id']
    quantity = min(request.json['quantity'], MAX_QUANTITY_PER_ORDER)
    if get_user_purchases_today(current_user.id) >= DAILY_LIMIT:
        abort(429, 'Daily purchase limit exceeded')
    order = create_order(product_id, quantity, current_user.id)
    return jsonify(order_id=order.id)",BusinessFlow
Good,"@app.route('/api/fetch-external')
@limiter.limit(""10 per minute"")
def consume_api_handler():
    endpoint = request.args.get('url')
    if not is_allowed_domain(endpoint):
        abort(400)
    response = requests.get(endpoint, allow_redirects=False, timeout=5)
    if response.is_redirect:
        abort(400, 'Redirects not allowed')
    return jsonify(data=response.json())",UnsafeAPIConsumption
Error,"@app.route('/proxy/image')
def fetch_url_endpoint():
    image_url = request.args.get('src')
    img_data = urllib.request.urlopen(image_url).read()
    return Response(img_data, mimetype='image/png')",SSRF
Good,"@app.route('/api/profile', methods=['PATCH'])
@login_required
def update_user():
    schema = ProfileUpdateSchema()
    content = schema.load(request.json)  # Only allowed fields
    profile = Profile.query.get(current_user.profile_id)
    profile.name = content.get('name', profile.name)
    profile.bio = content.get('bio', profile.bio)
    db.session.commit()
    return jsonify(profile.to_dict())",MassAssignment
Good,"@app.route('/api/user/update', methods=['PUT'])
@login_required
def update_user():
    allowed_fields = ['name', 'email', 'phone']
    content = request.get_json()
    user = current_user
    for key in allowed_fields:
        if key in content:
            setattr(user, key, content[key])
    db.session.commit()
    return jsonify(success=True)",MassAssignment
Good,"@app.route('/api/settings', methods=['PUT'])
@auth_required
def update_user_handler():
    dto = SettingsDTO.from_request(request.form)
    settings = Settings.query.filter_by(user_id=current_user.id).first()
    settings.theme = dto.theme
    settings.notifications = dto.notifications
    # is_premium and role are not updateable
    db.session.commit()
    return jsonify(settings.serialize())",MassAssignment
Error,"@app.route('/api/invite', methods=['POST'])
def business_flow_handler():
    emails = request.json['emails']
    # No limit - can spam invitations
    for email in emails:
        send_invitation(email, current_user.referral_code)
    return jsonify(sent=len(emails))",BusinessFlow
Good,"@app.route('/login', methods=['POST'])
@limiter.limit(""5 per minute"")
def handle_request_view():
    username = request.form['username']
    password = request.form['password']
    if authenticate(username, password):
        return jsonify(token=create_token(username))
    return jsonify(error='Invalid'), 401",NoRateLimit
Good,"@app.route('/proxy/image')
@limiter.limit(""100 per minute"")
def fetch_url_handler():
    image_url = request.args.get('src')
    parsed = urlparse(image_url)
    if not is_allowed_image_host(parsed.netloc):
        abort(403)
    if is_private_ip(socket.gethostbyname(parsed.hostname)):
        abort(403, 'Private IP not allowed')
    img_data = requests.get(image_url, timeout=5).content
    return Response(img_data, mimetype='image/png')",SSRF
Good,"DATABASE_CONFIG = {
    'host': os.environ['DB_HOST'],
    'user': os.environ['DB_USER'],
    'password': os.environ['DB_PASSWORD'],
    'database': os.environ['DB_NAME'],
    'ssl': True
}

@app.route('/api/users')
@admin_required
def handle_request_route():
    return jsonify(get_users())",Misconfiguration
Error,"@app.route('/api/purchase', methods=['POST'])
def business_flow_api():
    product_id = request.json['product_id']
    quantity = request.json['quantity']
    # No limit on quantity - scalping vulnerability
    order = create_order(product_id, quantity, current_user.id)
    return jsonify(order_id=order.id)",BusinessFlow
Error,"@app.route('/export/all')
def handle_request_view():
    records = Record.query.all()  # Millions of rows possible
    return Response(
        generate_csv(records),
        mimetype='text/csv'
    )",NoRateLimit
Good,"@app.route('/api/webhook', methods=['POST'])
@auth_required
def fetch_url_view():
    callback_url = request.json['callback_url']
    if not is_valid_webhook_url(callback_url):
        abort(400, 'Invalid callback URL')
    if is_internal_ip(urlparse(callback_url).hostname):
        abort(400, 'Internal IPs not allowed')
    data = process_webhook()
    requests.post(callback_url, json=data, timeout=10)
    return jsonify(success=True)",SSRF
Good,"@app.route('/export/all')
@admin_required
@limiter.limit(""1 per hour"")
def handle_request_view():
    limit = min(request.args.get('limit', 10000, type=int), 10000)
    records = Record.query.limit(limit).all()
    return Response(
        generate_csv(records),
        mimetype='text/csv'
    )",NoRateLimit
Error,"from flask_cors import CORS
app = Flask(__name__)
CORS(app, resources={r""/*"": {""origins"": ""*""}})

@app.route('/api/data')
def handle_request_route():
    return jsonify(sensitive_data())",Misconfiguration
Error,"@app.route('/api/settings', methods=['PUT'])
def update_user_api():
    settings = Settings.query.filter_by(user_id=current_user.id).first()
    for k, v in request.form.items():
        if hasattr(settings, k):
            setattr(settings, k, v)
    db.session.commit()
    return jsonify(settings.serialize())",MassAssignment
Error,"@app.route('/api/fetch')
def fetch_url_handler():
    service_url = request.args.get('url')
    response = requests.get(service_url)  # SSRF - can access internal resources!
    return jsonify(content=response.text)",SSRF
Error,"@app.route('/api/third-party')
def consume_api_route():
    response = requests.get(THIRD_PARTY_API)  # No timeout - can hang forever
    if response.status_code == 200:
        return jsonify(response.json())
    return jsonify(error='Failed'), 500",UnsafeAPIConsumption
Good,"@app.route('/api/vote', methods=['POST'])
@login_required
def business_flow_handler():
    poll_id = request.json['poll_id']
    choice = request.json['choice']
    if Vote.query.filter_by(poll_id=poll_id, user_id=current_user.id).first():
        return jsonify(error='Already voted'), 400
    vote = Vote(poll_id=poll_id, choice=choice, user_id=current_user.id)
    db.session.add(vote)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Good,"@app.route('/admin/users')
@admin_required
def admin_action():
    users = User.query.all()
    return jsonify([u.to_dict() for u in users])",BrokenFuncAuth
Good,"@app.route('/proxy/image')
@limiter.limit(""100 per minute"")
def fetch_url_api():
    image_url = request.args.get('src')
    parsed = urlparse(image_url)
    if not is_allowed_image_host(parsed.netloc):
        abort(403)
    if is_private_ip(socket.gethostbyname(parsed.hostname)):
        abort(403, 'Private IP not allowed')
    img_data = requests.get(image_url, timeout=5).content
    return Response(img_data, mimetype='image/png')",SSRF
Good,"if os.environ.get('FLASK_ENV') == 'development':
    @app.route('/test/create-admin')
    def create_test_admin():
        admin = User(username='testadmin', role='admin')
        db.session.add(admin)
        db.session.commit()
        return jsonify(id=admin.id)

@app.route('/api/status')
def internal_endpoint_api():
    return jsonify(status='running')",ImproperInventory
Good,"@app.route('/api/review', methods=['POST'])
@login_required
@limiter.limit(""5 per day"")
def business_flow_route():
    product_id = request.json['product_id']
    rating = request.json['rating']
    if Review.query.filter_by(product_id=product_id, user_id=current_user.id).first():
        return jsonify(error='Already reviewed'), 400
    if not has_purchased(current_user.id, product_id):
        return jsonify(error='Purchase required'), 403
    review = Review(product_id=product_id, rating=rating, user_id=current_user.id)
    db.session.add(review)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Good,"@app.route('/api/third-party')
@limiter.limit(""30 per minute"")
def consume_api_view():
    try:
        response = requests.get(THIRD_PARTY_API, timeout=10)
        response.raise_for_status()
        return jsonify(ThirdPartySchema().load(response.json()))
    except requests.Timeout:
        return jsonify(error='Service timeout'), 504
    except requests.RequestException as e:
        app.logger.error(f""Third party API error: {e}"")
        return jsonify(error='Service unavailable'), 503",UnsafeAPIConsumption
Good,"@app.route('/api/register', methods=['POST'])
def update_user_handler():
    body = request.get_json()
    user = User(
        username=body.get('username'),
        email=body.get('email'),
        password_hash=hash_password(body.get('password')),
        is_admin=False  # Always false for new users
    )
    db.session.add(user)
    db.session.commit()
    return jsonify(id=user.id)",MassAssignment
Error,"@app.route('/api/user')
def authenticate_view():
    session_id = request.cookies.get('session')
    user = sessions.get(session_id)  # No expiry check
    if user:
        return jsonify(user)
    return jsonify(error='Not found'), 404",BrokenAuth
Good,"@app.route('/api/invite', methods=['POST'])
@login_required
@limiter.limit(""10 per day"")
def business_flow_view():
    emails = request.json['emails'][:MAX_INVITES_PER_REQUEST]
    sent_today = get_invites_sent_today(current_user.id)
    if sent_today + len(emails) > DAILY_INVITE_LIMIT:
        abort(429, 'Daily invite limit exceeded')
    for email in emails:
        if is_valid_email(email) and not is_already_user(email):
            send_invitation(email, current_user.referral_code)
    return jsonify(sent=len(emails))",BusinessFlow
Error,"@app.route('/api/vote', methods=['POST'])
def business_flow_view():
    poll_id = request.json['poll_id']
    choice = request.json['choice']
    # No duplicate vote check
    vote = Vote(poll_id=poll_id, choice=choice)
    db.session.add(vote)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Good,"@app.route('/api/pdf/generate', methods=['POST'])
@login_required
def fetch_url_view():
    template_id = request.json['template_id']
    if template_id not in ALLOWED_TEMPLATES:
        abort(400, 'Invalid template')
    template_path = TEMPLATE_DIR / (template_id + "".html"")
    with open(template_path) as f:
        html_content = f.read()
    pdf = generate_pdf(html_content)
    return send_file(pdf)",SSRF
Error,"@app.route('/login', methods=['POST'])
def authenticate_handler():
    username = request.form['username']
    password = request.form['password']
    user = User.query.filter_by(username=username).first()
    if user.password == password:  # Plain text comparison!
        return jsonify(token=generate_token(user))
    return jsonify(error='Invalid'), 401",BrokenAuth
Good,"@app.route('/api/profile', methods=['PATCH'])
@login_required
def update_user():
    schema = ProfileUpdateSchema()
    body = schema.load(request.json)  # Only allowed fields
    profile = Profile.query.get(current_user.profile_id)
    profile.name = body.get('name', profile.name)
    profile.bio = body.get('bio', profile.bio)
    db.session.commit()
    return jsonify(profile.to_dict())",MassAssignment
Good,"@app.route('/api/orders/<order_id>')
@jwt_required
def get_resource_view(order_id):
    order = Order.query.get(order_id)
    if not order or order.user_id != current_user.id:
        abort(403)
    return jsonify(order.serialize())",BOLA
Error,"@app.route('/admin/login', methods=['POST'])
def authenticate_view():
    if request.form['password'] == 'admin123':
        session['admin'] = True
        return redirect('/dashboard')
    return 'Access denied', 401",BrokenAuth
Good,"@app.route('/admin')
@admin_required
@limiter.limit(""30 per minute"")
def handle_request_view():
    audit_log('admin_access', current_user.id)
    return render_template('admin.html', users=User.query.all())",Misconfiguration
Good,"@app.route('/transactions/<txn_id>')
@login_required
def get_resource(txn_id):
    txn = Transaction.query.filter_by(id=txn_id, user_id=current_user.id).first()
    if not txn:
        abort(404)
    return jsonify(amount=txn.amount, status=txn.status)",BOLA
Error,"@app.route('/api/review', methods=['POST'])
def business_flow_handler():
    product_id = request.json['product_id']
    rating = request.json['rating']
    # Can submit multiple reviews
    review = Review(product_id=product_id, rating=rating, user_id=current_user.id)
    db.session.add(review)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Error,"@app.route('/api/user')
def authenticate_route():
    session_id = request.cookies.get('session')
    user = sessions.get(session_id)  # No expiry check
    if user:
        return jsonify(user)
    return jsonify(error='Not found'), 404",BrokenAuth
Error,"@app.route('/api/protected')
def authenticate_route():
    token = request.headers.get('Authorization', '').replace('Bearer ', '')
    payload = jwt.decode(token, options={""verify_signature"": False})
    return jsonify(data=payload)",BrokenAuth
Error,"@app.route('/api/pdf/generate', methods=['POST'])
def fetch_url_route():
    html_url = request.json['template_url']
    html_content = requests.get(html_url).text  # Fetches any URL
    pdf = generate_pdf(html_content)
    return send_file(pdf)",SSRF
Error,"@app.route('/api/user/update', methods=['PUT'])
def update_user_handler():
    user = current_user
    payload = request.get_json()
    for key, value in payload.items():
        setattr(user, key, value)  # Mass assignment vulnerability!
    db.session.commit()
    return jsonify(success=True)",MassAssignment
Good,"@app.route('/api/register', methods=['POST'])
def update_user_api():
    request_data = request.get_json()
    user = User(
        username=request_data.get('username'),
        email=request_data.get('email'),
        password_hash=hash_password(request_data.get('password')),
        is_admin=False  # Always false for new users
    )
    db.session.add(user)
    db.session.commit()
    return jsonify(id=user.id)",MassAssignment
Good,"@app.route('/api/vote', methods=['POST'])
@login_required
def business_flow():
    poll_id = request.json['poll_id']
    choice = request.json['choice']
    if Vote.query.filter_by(poll_id=poll_id, user_id=current_user.id).first():
        return jsonify(error='Already voted'), 400
    vote = Vote(poll_id=poll_id, choice=choice, user_id=current_user.id)
    db.session.add(vote)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Good,"@app.route('/account/edit', methods=['POST'])
@login_required
def update_user_view():
    schema = AccountUpdateSchema(only=['name', 'timezone', 'language'])
    validated = schema.load(request.json)
    current_user.account.update(**validated)
    db.session.commit()
    return redirect('/account')",MassAssignment
Good,"@app.route('/api/users')
@login_required
@limiter.limit(""30 per minute"")
def handle_request_route():
    page = request.args.get('page', 1, type=int)
    per_page = min(request.args.get('per_page', 20, type=int), 50)
    users = User.query.paginate(page=page, per_page=per_page)
    return jsonify(users=[u.serialize() for u in users.items], total=users.total)",NoRateLimit
Good,"@app.route('/api/config', methods=['PUT'])
@require_role('superadmin')
def admin_action_api():
    config = request.get_json()
    audit_log('config_update', current_user.id, config)
    update_system_config(config)
    return jsonify(success=True)",BrokenFuncAuth
Good,"@app.route('/api/apply-coupon', methods=['POST'])
@login_required
def business_flow_api():
    coupon_code = request.json['code']
    coupon = Coupon.query.filter_by(code=coupon_code).first()
    if not coupon or not coupon.is_valid():
        return jsonify(error='Invalid coupon'), 400
    if CouponUsage.query.filter_by(user_id=current_user.id, coupon_id=coupon.id).first():
        return jsonify(error='Coupon already used'), 400
    apply_discount(current_user.cart_id, coupon.discount)
    record_coupon_usage(current_user.id, coupon.id)
    return jsonify(success=True)",BusinessFlow
Error,"app = Flask(__name__)
app.config['DEBUG'] = True
app.config['SECRET_KEY'] = 'dev-key-123'

@app.route('/')
def handle_request_view():
    return 'Hello World'",Misconfiguration
Good,"@app.route('/api/payment')
@login_required
def consume_api_route():
    payment_data = PaymentSchema().load(request.json)
    response = requests.post(
        PAYMENT_API_URL,
        json=payment_data,
        verify=True,
        cert=CLIENT_CERT,
        timeout=30
    )
    if response.status_code != 200:
        audit_log('payment_failed', current_user.id)
        abort(502)
    return jsonify(PaymentResponseSchema().load(response.json()))",UnsafeAPIConsumption
Good,"@app.route('/login', methods=['POST'])
@limiter.limit(""5 per minute"")
def handle_request():
    username = request.form['username']
    password = request.form['password']
    if authenticate(username, password):
        return jsonify(token=create_token(username))
    return jsonify(error='Invalid'), 401",NoRateLimit
Good,"@app.route('/api/preview')
@limiter.limit(""30 per minute"")
def fetch_url_handler():
    api_url = request.args.get('link')
    parsed = urlparse(api_url)
    resolved_ip = socket.gethostbyname(parsed.hostname)
    if ipaddress.ip_address(resolved_ip).is_private:
        abort(403, 'Private IP not allowed')
    response = httpx.get(api_url, follow_redirects=False, timeout=5)
    soup = BeautifulSoup(response.text[:10000], 'html.parser')
    return jsonify(title=soup.title.string if soup.title else '')",SSRF
Good,"@app.route('/debug/info')
@admin_required
def internal_endpoint_view():
    if not app.debug:
        abort(404)
    return jsonify(version=app.config['VERSION'])",ImproperInventory
Error,"@app.route('/documents/<doc_id>/download')
def get_resource(doc_id):
    doc = Document.query.get_or_404(doc_id)
    return send_file(doc.filepath)",BOLA
Error,"@app.route('/upload', methods=['POST'])
def handle_request_route():
    file = request.files['file']
    # No size check - DoS vulnerability!
    file.save(os.path.join(UPLOAD_DIR, file.filename))
    return jsonify(success=True)",NoRateLimit
Error,"@app.route('/login', methods=['POST'])
def handle_request_view():
    # No rate limiting - allows brute force!
    username = request.form['username']
    password = request.form['password']
    if authenticate(username, password):
        return jsonify(token=create_token(username))
    return jsonify(error='Invalid'), 401",NoRateLimit
Good,"@app.route('/api/refund', methods=['POST'])
@require_role('finance')
@limiter.limit(""10 per minute"")
def admin_action():
    order_id = request.json['order_id']
    amount = request.json['amount']
    if amount > MAX_REFUND_AMOUNT:
        abort(400, 'Amount exceeds limit')
    process_refund(order_id, amount, approved_by=current_user.id)
    return jsonify(refunded=True)",BrokenFuncAuth
Error,"@app.route('/api/users')
def handle_request_api():
    users = User.query.all()  # Returns ALL users - memory exhaustion
    return jsonify([u.serialize() for u in users])",NoRateLimit
Error,"@app.route('/api/v1/users')  # Deprecated but still works
def internal_endpoint():
    # Old version without authentication
    return jsonify([u.to_dict() for u in User.query.all()])

@app.route('/api/v2/users')
@jwt_required
def get_users_v2():
    return jsonify([u.to_dict() for u in User.query.all()])",ImproperInventory
Good,"@app.route('/account/edit', methods=['POST'])
@login_required
def update_user_view():
    schema = AccountUpdateSchema(only=['name', 'timezone', 'language'])
    validated = schema.load(request.json)
    current_user.account.update(**validated)
    db.session.commit()
    return redirect('/account')",MassAssignment
Error,"@app.route('/api/user/<item_id>/promote', methods=['POST'])
def admin_action_api(item_id):
    user = User.query.get(item_id)
    user.role = 'admin'
    db.session.commit()
    return jsonify(success=True)",BrokenFuncAuth
Error,"DATABASE_CONFIG = {
    'host': 'localhost',
    'user': 'root',
    'password': 'password',  # Default password!
    'database': 'production'
}

@app.route('/api/users')
def handle_request_handler():
    return jsonify(get_users())",Misconfiguration
Good,"@app.route('/login', methods=['POST'])
def authenticate_route():
    username = request.form['username']
    password = request.form['password']
    user = User.query.filter_by(username=username).first()
    if user and bcrypt.check_password_hash(user.password_hash, password):
        bearer_token = create_access_token(identity=user.id, expires_delta=timedelta(hours=1))
        return jsonify(token=bearer_token)
    return jsonify(error='Invalid credentials'), 401",BrokenAuth
Error,"@app.route('/login', methods=['POST'])
def handle_request():
    # No rate limiting - allows brute force!
    username = request.form['username']
    password = request.form['password']
    if authenticate(username, password):
        return jsonify(token=create_token(username))
    return jsonify(error='Invalid'), 401",NoRateLimit
Good,"from flask_cors import CORS
app = Flask(__name__)
CORS(app, resources={
    r""/api/*"": {""origins"": ALLOWED_ORIGINS, ""methods"": [""GET"", ""POST""]}
})

@app.route('/api/data')
@login_required
def handle_request_endpoint():
    return jsonify(get_user_data(current_user.id))",Misconfiguration
Good,"@app.route('/api/settings', methods=['PUT'])
@auth_required
def update_user_handler():
    dto = SettingsDTO.from_request(request.form)
    settings = Settings.query.filter_by(user_id=current_user.id).first()
    settings.theme = dto.theme
    settings.notifications = dto.notifications
    # is_premium and role are not updateable
    db.session.commit()
    return jsonify(settings.serialize())",MassAssignment
Error,"@app.route('/documents/<doc_id>/download')
def get_resource_api(doc_id):
    doc = Document.query.get_or_404(doc_id)
    return send_file(doc.filepath)",BOLA
Good,"@app.route('/api/preview')
@limiter.limit(""30 per minute"")
def fetch_url_route():
    target_url = request.args.get('link')
    parsed = urlparse(target_url)
    resolved_ip = socket.gethostbyname(parsed.hostname)
    if ipaddress.ip_address(resolved_ip).is_private:
        abort(403, 'Private IP not allowed')
    response = httpx.get(target_url, follow_redirects=False, timeout=5)
    soup = BeautifulSoup(response.text[:10000], 'html.parser')
    return jsonify(title=soup.title.string if soup.title else '')",SSRF
Error,"@app.route('/transactions/<txn_id>')
def get_resource_route(txn_id):
    txn = Transaction.query.filter_by(id=txn_id).first()
    return jsonify(amount=txn.amount, status=txn.status)",BOLA
Good,"@app.route('/admin/login', methods=['POST'])
@limiter.limit(""5 per minute"")
def authenticate_handler():
    user = authenticate_user(request.form['username'], request.form['password'])
    if user and verify_mfa(user, request.form['otp']):
        session['admin'] = True
        session.permanent = True
        return redirect('/dashboard')
    return 'Access denied', 401",BrokenAuth
